"","FEATUREID","OBJECTID","TotalDrainageAreaSqKM","AreaSqKM","upstream_forest_MEAN[, 2]","upstream_elevation_MEAN[, 2]","upstream_fwsopenwater_MEAN[, 2]","upstream_fwswetlands_MEAN[, 2]","upstream_impervious_MEAN[, 2]","upstream_developed_MEAN[, 2]","upstream_deg_barr_all[, 2]","Shape_Le_1","upstream_culvertcount"
"1",816202,1,2.0862,2.0862,0.98748921484,901.919671547,0.00345125107852,0.0414150129422,0,0,0,2539.92326056,1
"2",816203,2,1.8783,1.8783,1,901.490977705,0,0.0431241015812,0,0,0,1394.3372335,1
"3",816226,3,0.8253,0.8253,0.983642311887,799.445150627,0,0.18320610687,0,0,1,1007.29475517,NA
"4",816227,4,3.9879,3.9879,0.993455201985809,900.89368064226,0.00180546152110344,0.0419769803656024,0,0,0,111.605537198,NA
"5",816438,5,5.346,5.346,0.992592592592508,871.791015460582,0.00134680134680292,0.0595959595959216,0,0,0,830.870534781,NA
"6",816439,6,2.1087,2.1087,0.996158770807,876.931011361,0.00213401621852,0.0213401621852,0,0,0,998.56627214,NA
"7",816709,7,10.0485,10.0485,0.995253022839257,845.842723160641,0.00116435288849097,0.0460367218987644,0,0,0,1298.20124927,NA
"8",816710,8,1.017,1.017,0.995575221239,778.830413494,0,0.0725663716814,0,0,0,611.254884965,NA
"9",816932,9,1.7703,1.7703,0.996949669548,800.748900343,0.00254194204372,0.108795119471,0.00965937976614,0.00305033045247,0,2841.0520551,NA
"10",816933,10,0.8163,0.8163,0.993384785006,788.838096274,0.00110253583241,0.0352811466373,0,0,0,1888.83790898,NA
"11",816940,11,0.9378,0.9378,0.988483685221,837.329189249,0,0.0998080614203,0,0,0,771.429308431,NA
"12",816941,12,2.6361,2.6361,0.995220211676797,795.701969332897,0.00204848071013763,0.0856947763740145,0.0116080573574539,0.00238989416183253,4,30.6130638191,1
"13",816961,13,2.0475,2.0475,0.971868131868411,837.096765270778,0,0.0760439560439325,0.0426373626373865,0.0224175824175982,0,766.679429998,2
"14",816970,14,4.7367,4.7367,0.983469504085502,812.854218625143,0.00114003420102472,0.0805624168723988,0.0368611058331876,0.011970359110782,0,156.842131026,NA
"15",816995,15,0.8982,0.8982,0.970941883768,851.713851042,0,0.0691382765531,0.0591182364729,0.0290581162325,409,1176.22158988,NA
"16",817007,16,0.7812,0.7812,1,767.02535631,0,0.0587557603687,0,0,0,671.252731864,1
"17",817024,17,2.1159,2.1159,0.943853679285,731.522409742,0.0284985112718,0.135686941727,0.0905997447895,0.0229689493832,0,2274.82130484,1
"18",817025,18,1.7604,1.7604,0.983128834356,780.630984222,0.00102249488753,0.0664621676892,0.123210633947,0.0168711656442,10,1602.67594392,1
"19",817144,19,13.3497,13.3497,0.994539203128203,820.202155432643,0.000876424189307741,0.0639115485741495,0.0075507314771123,0.00148317939729053,5,2141.18484613,1
"20",817145,20,1.0647,1.0647,0.934911242604,693.605556201,0.00253592561285,0.0828402366864,0.229078613694,0.0371935756551,0,1236.45371073,NA
"21",817346,21,7.353,7.353,0.983598531212073,780.996518456109,0.000734394124846158,0.0869033047736052,0.032190942472479,0.0115055079559377,0,2699.38677834,NA
"22",817347,22,15.2829,15.2829,0.988339909310479,803.259677963079,0.000942229550674476,0.0727283434427049,0.0261468700312141,0.00535893056945988,0,855.041193701,NA
"23",817562,23,23.9373,23.9373,0.98661503177067,789.589335522219,0.00142873256382126,0.0870398917171497,0.0270707222619168,0.00703086814302379,0,973.254905621,NA
"24",817624,24,1.9773,1.9773,0.976786527082,779.049465119,0.00182066454256,0.121984524351,0,0,0,2935.30649563,NA
"25",817625,25,3.6675,3.6675,0.974969325153349,742.740347189084,0.00466257668711808,0.171779141104129,0,0,0,866.541942739,NA
"26",817647,26,1.3014,1.3014,0.974412171508,706.249064803,0.00899031811895,0.213001383126,0,0,0,1600.83333256,NA
"27",817743,27,2.619,2.619,0.828865979381,693.317526193,0.150859106529,0.0814432989691,0.0230240549828,0.00996563573883,51,2775.34969923,NA
"28",817751,28,8.2296,8.2296,0.972112860892281,716.944232903993,0.012467191601049,0.179243219597556,0.0524934383202593,0.00995188101486871,363,4372.97779302,NA
"29",817806,29,28.7991,28.7991,0.98134316697409,779.150946081362,0.00606268945903019,0.0985968311509741,0.0225007031469797,0.00584393262289458,0,1137.05744019,NA
"30",817831,30,0.8856,0.8856,0.832317073171,693.969404391,0.0497967479675,0.282520325203,0,0,0,1131.24246545,NA
"31",818123,31,3.492,3.492,0.994329896907,773.572302907,0.00360824742268,0.131701030928,0,0,1,2501.8346761,NA
"32",818124,32,0.8541,0.8541,0.993677555321,696.555943448,0,0.160168598525,0,0,0,1536.68756915,1
"33",818218,33,31.6872,31.6872,0.947114292206429,769.51306188405,0.0373494660304349,0.0997500568052633,0.020449897750517,0.00531129288798011,0,2407.5750289,NA
"34",818219,34,11.2518,11.2518,0.909374500079816,709.125803313948,0.0729483282674176,0.150055991041444,0.0437529995201087,0.00959846424571707,0,1875.53165854,NA
"35",818260,35,42.9966,42.9966,0.936011219491812,753.549956797623,0.0479130908025036,0.112781010591532,0.0265207016368862,0.00642608950475067,0,151.698625421,NA
"36",818284,36,1.9368,1.9368,1,774.954965244,0,0.0469330855019,0,0,0,1220.0930932,NA
"37",818285,37,5.589,5.589,0.993397745571483,743.653852389855,0.00225442834138461,0.155233494364018,0,0,0,911.173365195,NA
"38",818306,38,5.3253,5.3253,0.746662159878,672.204372812,0.221226973128,0.13148555011,0,0,0,4025.20672821,2
"39",818367,39,49.2435,49.2435,0.908178744402814,743.022948378868,0.073471625696741,0.11316823540164,0.0231563556611642,0.00561089280818713,0,580.713933633,NA
"40",818368,40,3.7674,3.7674,0.960821786909,696.063249554,0.0191113234591,0.250119445772,0,0,1,4998.20405187,NA
"41",818420,41,0.8757,0.8757,1,890.613122609,0,0,0,0,0,1071.86689648,NA
"42",818421,42,1.6965,1.6965,1,869.378403139,0,0.00053050397878,0,0,0,1581.09674891,NA
"43",818565,43,2.3319,2.3319,0.996912389039,723.268621094,0.000385951370127,0.0991895021227,0,0,0,3157.05647999,NA
"44",818566,44,8.226,8.226,0.995514223194629,744.681846929307,0.0015317286652077,0.119693654267033,0,0,36,1193.24681397,NA
"45",818650,45,53.217,53.217,0.909724336208372,739.372925538665,0.0717740571621351,0.122425164890957,0.021427363436506,0.00519194994080769,0,1211.8630391,NA
"46",818651,46,3.6018,3.6018,0.901549225387,729.579695168,0.0932033983008,0.0904547726137,0,0,2,4825.70375306,1
"47",818652,47,1.0647,1.0647,1,715.734278417,0.00338123415046,0.0388841927303,0,0,0,1026.39448195,NA
"48",818653,48,0.7803,0.7803,1,782.456257082,0.00346020761246,0.00922722029988,0,0,0,1462.00137,NA
"49",818765,49,2.529,2.529,1,807.288730304,0.00284697508897,0.0142348754448,0,0,0,3163.26672557,NA
"50",818766,50,3.843,3.843,0.996955503512833,831.824433974098,0,0.0161592505854706,0,0,0,1876.4692541,1
"51",818785,51,3.9933,3.9933,0.889339643904,729.767704638,0.000225377507325,0.0245661482984,0.960558936218,0.0993914807302,14,4079.41571307,6
"52",818786,52,1.2627,1.2627,0.999287241625,761.53957088,0,0,0.0135424091233,0.000712758374911,0,1950.3199767,NA
"53",818862,53,1.269,1.269,0.882269503546,682.721105091,0.114893617021,0.0687943262411,0,0,0,2158.05793433,1
"54",818863,54,58.3992,58.3992,0.897161262483053,736.71119622598,0.0847922574281345,0.117402293182134,0.0195259524103163,0.00473122919491984,0,862.906465961,NA
"55",818932,55,0.8838,0.8838,0.979633401222,709.944011494,0.0183299389002,0.143584521385,0,0,0,1689.77156716,1
"56",818933,56,0.7587,0.7587,0.842230130486,679.985904427,0.154211150652,0.100830367734,0,0,0,1594.04121684,1
"57",818941,57,1.6938,1.6938,0.986184909671,786.265079089,0.0106269925611,0.0180658873539,0,0,0,1924.5646758,1
"58",818942,58,6.966,6.966,0.996899224806147,810.680745111698,0.00180878552971658,0.029844961240249,0,0,2,912.289926106,1
"59",818955,59,1.7793,1.7793,0.845725847243147,692.522113435563,0.151745068285095,0.11431461810816,0,0,0,301.905325224,NA
"60",818956,60,59.6844,59.6844,0.896601121901203,735.539594519046,0.0856806803787382,0.116336932263742,0.0191054949031999,0.00462935038301403,4,350.282262575,NA
"61",819051,61,9.198,9.198,0.994422700587107,797.952234149684,0.0033268101761249,0.0374755381604438,0,0,1,1123.01888046,1
"62",819052,62,1.143,1.143,0.993700787402,678.657687017,0.000787401574803,0.143307086614,0,0,159,1672.2159153,NA
